Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	HybridSort in C	HybridSort in AEC
-0.948527	3.3322	5.95842	4.94876
-0.92199	2.30259	5.72685	5.52146
-0.899853	3.3673	5.97889	6.62539
-0.874917	2.99573	6.47235	5.61677
-0.852914	3.43399	5.97381	6.63595
-0.829844	2.99573	6.02345	4.94164
-0.809575	2.30259	5.76832	5.62762
-0.784105	3.4012	5.88053	6.63332
-0.765169	3.17805	6.04025	4.92725
-0.744899	2.3979	5.743	5.63479
-0.72583	3.4012	6.39024	6.90274
-0.706361	3.29584	6.01372	4.8752
-0.687158	2.30259	5.73657	5.48064
-0.67129	3.4012	5.99645	6.62407
-0.655154	2.99573	5.97126	4.8828
-0.635018	2.30259	5.75574	5.43372
-0.62155	3.68888	5.98645	6.62672
-0.607281	3.2581	6.44095	5.6058
-0.588212	3.49651	6.05209	6.62936
-0.570876	3.21888	5.98141	4.91265
-0.554341	2.3979	6.3613	7.07327
-0.544873	3.82864	6.63463	5.28827
-0.532871	3.4012	6.56526	7.02198
-0.518602	2.99573	6.44889	5.61677
-0.500467	3.63759	6.46303	6.85857
-0.481264	3.04452	6.45677	5.60947
-0.477664	3.4012	6.12468	6.62007
-0.463929	2.99573	6.39693	5.64545
-0.444459	3.4012	5.98645	6.60935
-0.436058	2.99573	5.96358	4.8752
-0.424857	2.30259	5.72685	5.3799
-0.416989	3.3322	6.03069	6.61338
-0.405387	3.04452	6.0845	4.8828
-0.396986	2.30259	5.73334	5.6204
-0.37805	3.4012	5.83481	6.6107
-0.368983	3.17805	6.46147	5.62402
-0.366049	3.43399	6.1334	6.6107
-0.356714	3.04452	5.96615	4.8828
-0.343246	2.30259	5.72685	5.3799
-0.335511	3.71357	5.99396	6.61204
-0.330577	3.04452	5.96358	4.8828
-0.319643	2.30259	5.7301	5.42495
-0.311108	3.66356	5.96101	6.6053
-0.299107	3.04452	6.42972	5.59099
-0.294706	3.93183	6.19236	6.6174
-0.282038	3.04452	5.96101	4.8752
-0.270969	2.30259	5.76205	5.51343
-0.263235	3.04452	5.76519	6.63068
-0.252834	2.99573	6.43935	5.50126
-0.254434	2.30259	6.62274	6.92067
-0.248166	3.04452	6.43775	5.61313
-0.237632	3.93183	6.50728	6.93049
-0.237632	2.99573	6.41836	5.59099
-0.230831	2.3979	6.54965	7.1507
-0.227897	3.52636	6.59441	5.87212
-0.214962	3.82864	6.44731	7.03791
-0.197626	3.04452	6.43775	6.01859
-0.203627	3.43399	6.44889	6.97728
-0.209361	2.99573	6.14633	6.2186
-0.195759	3.2581	6.16752	6.98286
-0.203494	2.99573	6.46925	6.26149
-0.180824	3.4012	6.46147	7.07412
-0.166689	3.09104	6.5903	6.10479
-0.178024	3.63759	6.46614	7.07412
-0.165355	3.04452	6.37673	5.79909
-0.174557	3.43399	6.4552	7.20042
-0.168556	2.99573	6.53669	7.17931
-0.156021	3.04452	6.48004	6.25383
-0.143619	3.80666	6.11589	6.95845
-0.158688	3.29584	6.04737	5.32301
-0.145086	2.3979	6.45677	7.10414
-0.139485	3.04452	6.03787	5.26269
-0.142686	2.3979	6.2634	6.80683
-0.137885	2.30259	5.72031	5.37528
-0.127617	2.30259	6.17794	6.97728
-0.130017	2.56495	5.79606	5.31321
-0.12375	2.30259	6.09357	6.89366
-0.113082	3.52636	5.75574	5.48894
-0.115349	2.30259	6.10479	7.03086
-0.106948	2.30259	5.79909	5.34711
-0.120016	2.30259	6.18002	6.86901
-0.117882	2.48491	5.71703	5.17615
-0.10348	2.30259	5.92693	6.91274
-0.0982798	2.3979	5.72685	5.2575
-0.104281	2.30259	5.90536	6.87936
-0.103347	2.70805	5.72685	5.26786
-0.0852113	2.3979	5.82305	6.95081
-0.0981464	2.3979	5.71703	5.17048
-0.0912122	2.3979	5.71373	5.88332
-0.0898787	3.04452	5.73979	6.74052
-0.0886785	2.63906	5.72031	5.17615
-0.0852113	2.30259	5.72031	5.84354
-0.0820109	3.04452	5.7301	6.77308
-0.0832111	2.3979	5.71703	5.34711
-0.0782771	2.3979	5.98141	6.86171
-0.0681424	2.3979	5.71703	5.26269
-0.077877	2.48491	5.72031	6.9489
-0.0690759	2.63906	5.71703	5.20401
-0.077077	2.30259	5.72359	5.86079
-0.0669423	3.04452	5.72685	6.75344
-0.0640085	2.3979	5.72685	5.22036
-0.062275	2.3979	5.87212	6.91175
-0.0644086	2.70805	5.72685	5.20401
-0.0644086	2.30259	5.82008	6.90174
-0.0533404	2.94444	5.72031	5.26786
-0.0652087	2.30259	5.72031	6.96224
-0.0517402	2.3979	5.71703	5.24702
-0.0504067	2.3979	5.82895	6.93828
-0.0488065	2.3979	5.71703	5.2575
-0.0536072	2.3979	5.93489	6.88551
-0.0464062	2.63906	5.72031	5.17615
-0.0453394	2.30259	5.86079	6.89871
-0.0420056	2.89037	5.72359	5.24702
-0.0510735	2.30259	5.83481	6.93634
-0.0482731	2.3979	5.71373	5.18178
-0.044806	2.3979	5.8693	6.88653
-0.0500067	2.99573	5.73334	5.3033
-0.0238699	2.3979	5.87493	6.90475
-0.0400053	2.89037	5.7301	5.17615
-0.0486732	2.3979	5.71373	6.94022
-0.0406721	2.94444	5.73334	5.17048
-0.0360048	2.30259	5.72031	5.81711
-0.0345379	3.09104	5.72685	6.7511
-0.0350713	2.3979	5.72031	5.20949
-0.0361382	2.30259	5.72359	5.80513
-0.0409388	3.04452	5.73334	6.72743
-0.0270703	2.83321	5.72031	5.1985
-0.0361382	2.3979	5.72031	5.82895
-0.0294706	3.09104	5.73334	6.75926
-0.0336045	2.3979	5.72685	5.23111
-0.0345379	2.3979	5.87493	6.89061
-0.0313375	2.83321	5.73334	5.17615
-0.0204027	2.30259	5.72031	5.84644
-0.037605	3.04452	5.72685	6.7334
-0.0216029	2.63906	5.72031	5.22036
-0.0298706	2.30259	5.72359	5.79909
-0.0198693	3.49651	5.72685	6.74759
-0.0345379	2.63906	5.72031	5.17615
-0.0254701	2.3979	5.72031	5.81711
-0.0328044	3.43399	5.743	6.71052
-0.0146686	2.99573	5.72685	5.20401
-0.017469	2.30259	5.95324	6.91473
-0.0241365	2.3979	5.72359	5.1985
-0.0288038	2.3979	5.92693	6.86693
-0.0208028	2.83321	5.73334	5.20401
-0.022403	2.3979	5.71703	5.81413
-0.0221363	3.04452	5.73657	6.71417
-0.0153354	3.04452	5.72359	5.16479
-0.0204027	2.30259	5.7301	5.80814
