Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
0.140019	2.30259	6.63332	3.91202	2.99573	5.78074	3.29584	5.33754
0.140419	2.30259	4.90527	3.21888	1.79176	5.73334	4.44265	5.72359
0.137485	2.30259	6.63463	4.00733	2.77259	5.62402	3.29584	5.32788
0.138552	2.30259	4.91265	3.21888	1.94591	5.46383	4.41884	5.92693
0.148153	2.30259	6.62007	4.02535	2.83321	5.69036	3.2581	5.33272
0.162555	2.56495	4.90527	3.21888	1.79176	5.46383	4.43082	5.87212
0.160021	2.30259	6.63332	3.97029	2.99573	5.67332	3.3673	5.33272
0.155487	2.30259	4.91265	3.21888	1.94591	5.63121	4.45435	5.826
0.163222	2.30259	6.62936	3.91202	2.99573	5.63121	3.2581	5.33754
0.163889	2.30259	4.89035	3.29584	1.79176	5.5835	4.45435	5.50126
0.173623	2.30259	6.63332	3.97029	2.83321	5.72031	3.2581	5.33272
0.186958	2.30259	4.91265	3.21888	1.79176	5.68017	4.39445	5.7869
0.187225	2.30259	6.64639	4.09434	2.99573	5.61677	3.2581	5.32788
0.195093	2.30259	4.93447	3.21888	1.94591	5.61677	4.33073	5.83773
0.192159	2.30259	6.62672	4.09434	2.30259	5.72359	3.29584	5.34711
0.200293	2.30259	4.90527	3.21888	1.79176	5.58725	4.41884	5.84064
0.212295	2.30259	6.62804	4.07754	2.30259	5.75257	3.95124	5.33272
0.210295	2.30259	4.90527	3.21888	1.79176	5.73657	4.48864	5.70378
0.214829	2.30259	6.63068	3.91202	2.99573	5.63835	3.21888	5.33272
0.22403	2.30259	4.89784	3.2581	1.94591	5.75257	4.39445	5.42495
0.229897	2.30259	6.62936	4.06044	2.30259	5.73334	3.2581	5.33754
0.232564	2.30259	4.91998	3.21888	1.79176	5.80513	4.26268	5.34233
0.242966	2.30259	6.62274	3.98898	2.94444	5.67675	3.2581	5.33754
0.252967	2.30259	4.90527	3.21888	1.94591	5.77765	4.41884	5.37528
0.262702	2.19722	6.63857	4.07754	2.30259	5.65599	3.2581	5.32788
0.268169	2.30259	4.90527	3.21888	1.79176	5.66988	4.43082	5.84064
0.275237	2.30259	6.62672	4.09434	2.30259	5.67332	3.2581	5.32788
0.27777	2.19722	4.90527	3.17805	1.94591	5.90808	4.27667	5.34233
0.292706	2.30259	6.62672	3.98898	2.30259	5.88332	3.29584	5.33272
0.295773	2.3979	4.91998	3.17805	1.94591	6.11589	4.45435	5.39816
0.296973	2.30259	6.62672	4.09434	2.30259	5.66296	3.2581	5.34233
0.308708	2.30259	4.89035	3.21888	1.79176	5.66643	4.45435	5.45104
0.318442	2.30259	6.62804	4.04305	2.30259	5.69709	3.2581	5.33272
0.322576	2.30259	4.89784	3.21888	1.79176	5.79606	4.39445	5.42935
0.337245	2.19722	6.62539	4.02535	2.77259	5.66643	3.21888	5.33754
0.345513	2.30259	4.89035	3.21888	1.79176	5.65599	4.45435	5.85507
0.351514	2.30259	6.62407	4.02535	2.30259	5.81711	3.2581	5.33754
0.358714	2.30259	4.91265	3.21888	1.79176	5.93754	4.11087	5.34233
